2017-03-21 17:48:11,546 [Worker-33] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for SpingMVCHelloWord
2017-03-21 17:48:11,556 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 09:44:34,133 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 09:44:34,287 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-22 09:44:34,292 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 09:44:34,298 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\THUCTAP\DEMO\DemoSpringMVC\SpingMVCHelloWord\src\test\resources
2017-03-22 10:50:05,836 [Worker-47] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: DemoSpringMVC:SpingMVCHelloWord:0.0.1-SNAPSHOT @ D:\THUCTAP\DEMO\DemoSpringMVC\SpingMVCHelloWord\pom.xml.
2017-03-22 10:50:07,726 [Worker-47] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/maven/plugins/tomcat7-maven-plugin/2.2/tomcat7-maven-plugin-2.2.pom
2017-03-22 10:50:07,733 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.maven.plugins:tomcat7-maven-plugin:jar:2.2 is missing, no dependency information available
2017-03-22 10:50:08,585 [Worker-47] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/maven/plugins/tomcat7-maven-plugin/2.2/tomcat7-maven-plugin-2.2.jar
2017-03-22 10:50:08,591 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.apache.maven.plugins:tomcat7-maven-plugin:2.2: Plugin org.apache.maven.plugins:tomcat7-maven-plugin:2.2 or one of its dependencies could not be resolved: Could not find artifact org.apache.maven.plugins:tomcat7-maven-plugin:jar:2.2 in central (https://repo.maven.apache.org/maven2)
2017-03-22 10:50:08,866 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.maven.plugins:tomcat7-maven-plugin:jar:2.2 is missing, no dependency information available
2017-03-22 10:50:08,879 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.apache.maven.plugins:tomcat7-maven-plugin:2.2: Plugin org.apache.maven.plugins:tomcat7-maven-plugin:2.2 or one of its dependencies could not be resolved: Failure to find org.apache.maven.plugins:tomcat7-maven-plugin:jar:2.2 in https://repo.maven.apache.org/maven2 was cached in the local repository, resolution will not be reattempted until the update interval of central has elapsed or updates are forced
2017-03-22 10:50:13,745 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 10:50:13,790 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-22 10:50:13,792 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 10:50:13,802 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\THUCTAP\DEMO\DemoSpringMVC\SpingMVCHelloWord\src\test\resources
2017-03-22 10:50:13,802 [Worker-47] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of SpingMVCHelloWord
2017-03-22 10:50:13,807 [Worker-47] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for SpingMVCHelloWord
